Sample	Aligned Ambiguously	Aligned Uniquely	No Genomic Sequence	Did Not Align
A-1.1	1312874.0	5760149.0	0.0	4100341.0
A-10.1	5533544.0	17879239.0	0.0	9573461.0
A-11.1	5586691.0	18066388.0	0.0	9759592.0
A-12.1	5545671.0	17962377.0	1.0	9269716.0
A-13.1	4170170.0	13519200.0	0.0	6913777.0
A-14.1	4108513.0	13220324.0	0.0	7151845.0
A-15.1	5763181.0	18720580.0	0.0	9919156.0
A-16.1	3912159.0	12752926.0	0.0	6671959.0
A-17.1	5903826.0	18785809.0	0.0	9459267.0
A-18.1	5681553.0	17933843.0	0.0	9121784.0
A-19.1	5550452.0	17487804.0	0.0	9128260.0
A-2.1	1303771.0	5730888.0	0.0	4087826.0
A-20.1	5420142.0	17109495.0	0.0	8921258.0
A-21.1	9914661.0	32147511.0	0.0	15762037.0
A-3.1	4059154.0	18227466.0	4.0	11899684.0
A-4.1	1276039.0	5669339.0	0.0	4226492.0
A-5.1	1226356.0	5385664.0	1.0	4043232.0
A-6.1	1049477.0	4698375.0	1.0	3326667.0
A-7.1	643841.0	2063356.0	0.0	1097377.0
A-8.1	643524.0	2096933.0	0.0	1127774.0
A-9.1	562544.0	1840213.0	0.0	1002299.0
B-1.1	1664214.0	7185434.0	0.0	6558913.0
B-10.1	5704927.0	18845172.0	0.0	9959391.0
B-11.1	5735583.0	18948811.0	0.0	10118130.0
B-12.1	5683805.0	18830009.0	0.0	9635733.0
B-13.1	4299093.0	14262644.0	0.0	7223628.0
B-14.1	4190658.0	13780196.0	0.0	7408821.0
B-15.1	4412506.0	14665943.0	0.0	7658858.0
B-16.1	4125574.0	13774613.0	0.0	7108822.0
B-17.1	6252759.0	20381309.0	1.0	10062307.0
B-18.1	6092691.0	19676685.0	0.0	9819130.0
B-19.1	5937831.0	19163771.0	0.0	9822465.0
B-2.1	637981.0	2085369.0	0.0	1127867.0
B-20.1	5805365.0	18771188.0	1.0	9594572.0
B-21.1	7759432.0	25731029.0	1.0	12443584.0
B-3.1	3323762.0	14653833.0	0.0	12002058.0
B-4.1	1996862.0	8696360.0	0.0	7910301.0
B-5.1	1918932.0	8261183.0	0.0	7486099.0
B-6.1	803058.0	3556897.0	0.0	3325757.0
B-7.1	637981.0	2085369.0	0.0	1127867.0
B-8.1	652121.0	2181296.0	0.0	1169583.0
B-9.1	631789.0	2112325.0	0.0	1146494.0
C-1.1	2398557.0	9654720.0	0.0	6919184.0
C-10.1	5266204.0	15926205.0	0.0	8376451.0
C-11.1	5377752.0	16283666.0	0.0	8606443.0
C-12.1	5346822.0	16217316.0	0.0	8204806.0
C-13.1	4000991.0	12071018.0	0.0	5974289.0
C-14.1	3984250.0	11937937.0	0.0	6231983.0
C-15.1	6553195.0	19778851.0	0.0	10121276.0
C-16.1	3747904.0	11344608.0	0.0	5732128.0
C-17.1	5454486.0	16189687.0	0.0	8030461.0
C-18.1	5227708.0	15424847.0	0.0	7730300.0
C-19.1	5106591.0	15054932.0	0.0	7737413.0
C-2.1	2371231.0	9576132.0	0.0	6878317.0
C-20.1	4981886.0	14700242.0	0.0	7592901.0
C-21.1	14697238.0	44286537.0	0.0	21076381.0
C-3.1	4115785.0	16748795.0	0.0	10920514.0
C-4.1	2440394.0	9905098.0	0.0	7403187.0
C-5.1	2338071.0	9379093.0	0.0	7014748.0
C-6.1	895776.0	3653814.0	0.0	2620197.0
C-7.1	614506.0	1836975.0	0.0	954688.0
C-8.1	640451.0	1943845.0	0.0	1015225.0
C-9.1	674650.0	2050924.0	0.0	1079384.0
D-1.1	1930299.0	8295559.0	0.0	6485550.0
D-10.1	5792386.0	18895069.0	0.0	9818256.0
D-11.1	5939563.0	19397637.0	0.0	10144055.0
D-12.1	5840296.0	19107299.0	0.0	9596102.0
D-13.1	4157609.0	13589901.0	0.0	6806452.0
D-14.1	4159995.0	13482581.0	0.0	7123565.0
D-15.1	5634682.0	18444868.0	0.0	9459316.0
D-16.1	3988406.0	13122347.0	0.0	6696363.0
D-17.1	5852531.0	18721404.0	0.0	9267818.0
D-18.1	5706108.0	18117419.0	0.0	9029831.0
D-19.1	5604920.0	17792294.0	0.0	9074911.0
D-2.1	1897395.0	8177926.0	0.0	6440975.0
D-20.1	5455063.0	17306810.0	0.0	8816861.0
D-21.1	8352188.0	27365038.0	0.0	13759162.0
D-3.1	3865617.0	16609113.0	0.0	12243702.0
D-4.1	2134603.0	9236233.0	0.0	7214466.0
D-5.1	2054661.0	8805815.0	0.0	6848299.0
D-6.1	812161.0	3498385.0	0.0	2840602.0
D-7.1	620498.0	2001945.0	0.0	1059184.0
D-8.1	677760.0	2222315.0	0.0	1176094.0
D-9.1	736984.0	2439326.0	0.0	1302212.0
E-1.1	1586620.0	7195102.0	2.0	4604484.0
E-10.1	6698047.0	21477719.0	0.0	11335622.0
E-11.1	6751645.0	21652057.0	0.0	11495892.0
E-12.1	6685493.0	21481837.0	0.0	10954886.0
E-13.1	4743665.0	15245421.0	0.0	7773711.0
E-14.1	4630394.0	14773240.0	0.0	7930308.0
E-15.1	3666380.0	11810196.0	0.0	6152554.0
E-16.1	4598461.0	14894279.0	0.0	7691539.0
E-17.1	6869864.0	21703890.0	0.0	10826656.0
E-18.1	6676855.0	20914960.0	0.0	10536347.0
E-19.1	6490411.0	20308227.0	0.0	10463620.0
E-2.1	1569396.0	7127654.0	0.0	4576053.0
E-20.1	6305249.0	19763594.0	0.0	10196003.0
E-21.1	3775890.0	12172445.0	0.0	6149749.0
E-3.1	3954493.0	18027243.0	0.0	10972854.0
E-4.1	2027282.0	9338193.0	2.0	6284950.0
E-5.1	1939434.0	8850591.0	1.0	5979333.0
E-6.1	816448.0	3710078.0	0.0	2404084.0
E-7.1	556842.0	1761738.0	0.0	957352.0
E-8.1	788210.0	2548561.0	0.0	1386735.0
E-9.1	910387.0	2947599.0	0.0	1608736.0
F-1.1	1861283.0	8703596.0	0.0	5483057.0
F-10.1	6433012.0	20597552.0	0.0	10574997.0
F-11.1	6601748.0	21210514.0	0.0	10869786.0
F-12.1	6490424.0	20916408.0	0.0	10296375.0
F-13.1	5156440.0	16658534.0	0.0	7919695.0
F-14.1	5081561.0	16268112.0	0.0	8204264.0
F-15.1	4948083.0	15927759.0	0.0	7894834.0
F-16.1	4800990.0	15592886.0	0.0	7552410.0
F-17.1	6563193.0	20596511.0	0.0	9962936.0
F-18.1	6117384.0	18935059.0	0.0	9385791.0
F-19.1	5888476.0	18229972.0	0.0	9310476.0
F-2.1	1821021.0	8551131.0	0.0	5391562.0
F-20.1	5598991.0	17357220.0	0.0	8956147.0
F-21.1	5056939.0	16356558.0	0.0	7816323.0
F-3.1	3701367.0	17428159.0	0.0	10501081.0
F-4.1	2168989.0	10307503.0	0.0	6866906.0
F-6.1	840495.0	3957022.0	0.0	2517517.0
F-7.1	413446.0	1312193.0	0.0	666466.0
F-8.1	825313.0	2676729.0	0.0	1330349.0
F-9.1	941818.0	3068103.0	0.0	1538444.0
G-1.1	3272807.0	10579125.0	0.0	5991007.0
G-10.1	3379797.0	10664579.0	1.0	5854981.0
G-11.1	3180878.0	10050525.0	0.0	5522914.0
G-12.1	5606331.0	18126178.0	1.0	9855351.0
G-2.1	3312788.0	10700488.0	0.0	6112848.0
G-3.1	3286650.0	10640113.0	0.0	5796112.0
G-4.1	1194192.0	3875856.0	0.0	2073921.0
G-5.1	1416829.0	4558546.0	0.0	2580709.0
G-6.1	1229438.0	3994020.0	0.0	2211822.0
G-7.1	1262353.0	4119044.0	0.0	2249323.0
G-8.1	3592277.0	11442828.0	0.0	6068639.0
G-9.1	3522160.0	11127564.0	1.0	5956891.0
H-1.1	3474036.0	11083886.0	0.0	6045275.0
H-10.1	3629423.0	11306986.0	1.0	5999078.0
H-11.1	3421487.0	10664631.0	3.0	5642948.0
H-12.1	5002240.0	15939992.0	0.0	8416289.0
H-2.1	3501052.0	11167902.0	0.0	6166408.0
H-3.1	3474089.0	11100327.0	0.0	5865161.0
H-4.1	1246514.0	3990262.0	0.0	2105174.0
H-5.1	1476726.0	4683992.0	0.0	2620529.0
H-6.1	972837.0	3110968.0	0.0	1690939.0
H-7.1	1321686.0	4249351.0	0.0	2294186.0
H-8.1	3816686.0	11986791.0	0.0	6169800.0
H-9.1	3780705.0	11787554.0	0.0	6110182.0
I-1.1	3100119.0	10153861.0	0.0	5363070.0
I-10.1	3224658.0	10288480.0	0.0	5319825.0
I-11.1	3036932.0	9699736.0	0.0	5009168.0
I-12.1	6214393.0	20409122.0	0.0	9917811.0
I-2.1	3110129.0	10167197.0	0.0	5396708.0
I-3.1	3092099.0	10144984.0	0.0	5156439.0
I-4.1	1148870.0	3768983.0	0.0	1914674.0
I-5.1	1333729.0	4346705.0	0.0	2325902.0
I-6.1	1709472.0	5625917.0	0.0	2931685.0
I-7.1	1213006.0	4003775.0	0.0	2073853.0
I-8.1	3450715.0	11119152.0	0.0	5550439.0
I-9.1	3380101.0	10799253.0	0.0	5445037.0
