Sample	Original bottom strand	Original top strand
A-1.1	2883374.0	2876775.0
A-10.1	8944207.0	8935032.0
A-11.1	9034648.0	9031740.0
A-12.1	8982602.0	8979774.0
A-13.1	6761139.0	6758061.0
A-14.1	6615208.0	6605116.0
A-15.1	9365142.0	9355438.0
A-16.1	6372884.0	6380042.0
A-17.1	9401487.0	9384322.0
A-18.1	8970255.0	8963588.0
A-19.1	8748260.0	8739544.0
A-2.1	2865741.0	2865147.0
A-20.1	8554191.0	8555304.0
A-21.1	16078409.0	16069102.0
A-3.1	9121153.0	9106309.0
A-4.1	2836469.0	2832870.0
A-5.1	2695230.0	2690433.0
A-6.1	2348311.0	2350063.0
A-7.1	1031721.0	1031635.0
A-8.1	1049274.0	1047659.0
A-9.1	920585.0	919628.0
B-1.1	3587303.0	3598131.0
B-10.1	9424547.0	9420625.0
B-11.1	9475576.0	9473235.0
B-12.1	9415605.0	9414404.0
B-13.1	7132390.0	7130254.0
B-14.1	6894252.0	6885944.0
B-15.1	7333860.0	7332083.0
B-16.1	6888200.0	6886413.0
B-17.1	10190062.0	10191246.0
B-18.1	9838701.0	9837984.0
B-19.1	9583787.0	9579984.0
B-2.1	1042795.0	1042574.0
B-20.1	9384607.0	9386580.0
B-21.1	12868640.0	12862388.0
B-3.1	7317324.0	7336509.0
B-4.1	4344240.0	4352120.0
B-5.1	4126843.0	4134340.0
B-6.1	1775133.0	1781764.0
B-7.1	1042795.0	1042574.0
B-8.1	1091189.0	1090107.0
B-9.1	1056221.0	1056104.0
C-1.1	4821652.0	4833068.0
C-10.1	7965548.0	7960657.0
C-11.1	8139083.0	8144583.0
C-12.1	8107689.0	8109627.0
C-13.1	6037358.0	6033660.0
C-14.1	5966568.0	5971369.0
C-15.1	9886998.0	9891853.0
C-16.1	5670510.0	5674098.0
C-17.1	8095342.0	8094345.0
C-18.1	7707713.0	7717134.0
C-19.1	7530659.0	7524273.0
C-2.1	4781019.0	4795113.0
C-20.1	7350568.0	7349674.0
C-21.1	22142733.0	22143804.0
C-3.1	8363103.0	8385692.0
C-4.1	4946488.0	4958610.0
C-5.1	4686535.0	4692558.0
C-6.1	1825256.0	1828558.0
C-7.1	918813.0	918162.0
C-8.1	971580.0	972265.0
C-9.1	1024752.0	1026172.0
D-1.1	4138598.0	4156961.0
D-10.1	9444631.0	9450438.0
D-11.1	9700381.0	9697256.0
D-12.1	9552228.0	9555071.0
D-13.1	6795638.0	6794263.0
D-14.1	6741204.0	6741377.0
D-15.1	9225641.0	9219227.0
D-16.1	6563938.0	6558409.0
D-17.1	9359814.0	9361590.0
D-18.1	9063303.0	9054116.0
D-19.1	8897340.0	8894954.0
D-2.1	4081234.0	4096692.0
D-20.1	8656588.0	8650222.0
D-21.1	13686390.0	13678648.0
D-3.1	8293967.0	8315146.0
D-4.1	4612282.0	4623951.0
D-5.1	4399577.0	4406238.0
D-6.1	1747876.0	1750509.0
