Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
A-1.1	5760149.0	1312874.0	0.0	58841366.0	5136294.0	91482712.0	4100341.0	51.5525046888	66.6	1.5	92.3	0.0	0.0	directional	2883374.0	2876775.0	529202203.0	11173364.0	29512266.0	336639992.0	7589573.0
A-10.1	17879239.0	5533544.0	0.0	113611287.0	12416354.0	192748218.0	9573461.0	54.2021061871	65.0	1.9	91.3	0.0	0.0	directional	8944207.0	8935032.0	1024477882.0	32986244.0	61109561.0	626148168.0	18444294.0
A-11.1	18066388.0	5586691.0	0.0	114724940.0	12599412.0	194809647.0	9759592.0	54.070469254	65.0	2.0	91.3	0.0	0.0	directional	9034648.0	9031740.0	1035157919.0	33412671.0	61688043.0	632763713.0	18572164.0
A-12.1	17962377.0	5545671.0	1.0	114433416.0	12648304.0	194636229.0	9269716.0	54.8004952382	65.0	2.0	91.3	0.0	0.0	directional	8982602.0	8979774.0	1033765933.0	32777764.0	61532603.0	632037909.0	18477472.0
A-13.1	13519200.0	4170170.0	0.0	87961614.0	9043075.0	152082177.0	6913777.0	54.9490681009	65.0	1.8	91.5	0.0	0.0	directional	6761139.0	6758061.0	793696855.0	24603147.0	47408837.0	483085867.0	14115285.0
A-14.1	13220324.0	4108513.0	0.0	84760434.0	8646956.0	145705158.0	7151845.0	54.0030870055	65.1	1.8	91.5	0.0	0.0	directional	6615208.0	6605116.0	761874543.0	24480682.0	45534031.0	463610883.0	13617081.0
A-15.1	18720580.0	5763181.0	0.0	121038841.0	12397418.0	206763999.0	9919156.0	54.4156764381	65.0	1.8	91.3	0.0	0.0	directional	9365142.0	9355438.0	1090494099.0	34402917.0	65146731.0	665483535.0	19663575.0
A-16.1	12752926.0	3912159.0	0.0	84028820.0	8590637.0	144997259.0	6671959.0	54.6467067551	65.0	1.8	91.5	0.0	0.0	directional	6372884.0	6380042.0	756863242.0	23337044.0	45264174.0	460512065.0	13470287.0
A-17.1	18785809.0	5903826.0	0.0	119273407.0	13023165.0	205242368.0	9459267.0	55.0114583479	65.0	2.0	91.5	0.0	0.0	directional	9401487.0	9384322.0	1075361859.0	34148902.0	64104220.0	654650038.0	19068661.0
A-18.1	17933843.0	5681553.0	0.0	112041313.0	12286678.0	191693904.0	9121784.0	54.7812701033	65.0	2.0	91.4	0.0	0.0	directional	8970255.0	8963588.0	1012117862.0	32737180.0	60266619.0	617741239.0	18088109.0
A-19.1	17487804.0	5550452.0	0.0	108278685.0	11911280.0	184604596.0	9128260.0	54.366484701	65.0	2.0	91.3	0.0	0.0	directional	8748260.0	8739544.0	976954733.0	32166516.0	58183519.0	596446016.0	17530637.0
A-2.1	5730888.0	1303771.0	0.0	58639754.0	5107163.0	91248314.0	4087826.0	51.5252481797	66.6	1.5	92.3	0.0	0.0	directional	2865741.0	2865147.0	527006490.0	11122485.0	29444371.0	334976457.0	7590431.0
A-20.1	17109495.0	5420142.0	0.0	106280261.0	11759195.0	181319782.0	8921258.0	54.40066173	65.0	2.0	91.3	0.0	0.0	directional	8554191.0	8555304.0	960851993.0	31450895.0	57193757.0	587086760.0	17212238.0
A-21.1	32147511.0	9914661.0	0.0	207260934.0	21491949.0	356327203.0	15762037.0	55.595245583	65.1	1.9	91.4	0.0	0.0	directional	16078409.0	16069102.0	1866294379.0	57824209.0	111295085.0	1136576818.0	33342390.0
A-3.1	18227466.0	4059154.0	4.0	191924383.0	16743314.0	299363401.0	11899684.0	53.3180363692	66.7	1.5	92.4	0.0	0.0	directional	9121153.0	9106309.0	1716473134.0	34186304.0	95987968.0	1087956335.0	24497733.0
A-4.1	5669339.0	1276039.0	0.0	56317218.0	4935837.0	86753565.0	4226492.0	50.7465536208	66.5	1.5	92.2	0.0	0.0	directional	2836469.0	2832870.0	511779401.0	11171870.0	28357255.0	328059912.0	7355614.0
A-5.1	5385664.0	1226356.0	1.0	53379293.0	4658683.0	82242079.0	4043232.0	50.5446891355	66.5	1.5	92.2	0.0	0.0	directional	2695230.0	2690433.0	484877043.0	10655252.0	26838159.0	310806863.0	6951966.0
A-6.1	4698375.0	1049477.0	1.0	49278148.0	4298433.0	77228313.0	3326667.0	51.7754715153	66.5	1.5	92.3	0.0	0.0	directional	2348311.0	2350063.0	440711749.0	9074519.0	24845044.0	278662788.0	6399023.0
A-7.1	2063356.0	643841.0	0.0	12889040.0	1340051.0	21730457.0	1097377.0	54.233562023	65.2	1.8	91.4	0.0	0.0	directional	1031721.0	1031635.0	116958209.0	3804574.0	6887089.0	72067926.0	2043646.0
A-8.1	2096933.0	643524.0	0.0	13528473.0	1389866.0	23249498.0	1127774.0	54.2090945448	64.8	1.8	91.4	0.0	0.0	directional	1049274.0	1047659.0	122602991.0	3868231.0	7347618.0	74886366.0	2201170.0
A-9.1	1840213.0	562544.0	0.0	11925851.0	1218316.0	20415615.0	1002299.0	54.043545833	64.8	1.8	91.3	0.0	0.0	directional	920585.0	919628.0	108014130.0	3405056.0	6481151.0	66020607.0	1952590.0
B-1.1	7185434.0	1664214.0	0.0	79828399.0	6756440.0	133400656.0	6558913.0	46.6327387742	66.3	1.6	93.2	0.0	0.0	directional	3587303.0	3598131.0	674209091.0	15408561.0	40633186.0	403851697.0	9738713.0
B-10.1	18845172.0	5704927.0	0.0	120107057.0	12244598.0	209435737.0	9959391.0	54.6086656163	63.9	1.8	91.2	0.0	0.0	directional	9424547.0	9420625.0	1083878663.0	34509490.0	67923386.0	654063440.0	20104445.0
B-11.1	18948811.0	5735583.0	0.0	120628338.0	12330549.0	210410967.0	10118130.0	54.4466573746	63.9	1.8	91.3	0.0	0.0	directional	9475576.0	9473235.0	1088814057.0	34802524.0	68225321.0	657063263.0	20155619.0
B-12.1	18830009.0	5683805.0	0.0	120125841.0	12390112.0	209965051.0	9635733.0	55.139850025	63.9	1.9	91.3	0.0	0.0	directional	9415605.0	9414404.0	1086235146.0	34149547.0	67959625.0	655784392.0	20010125.0
B-13.1	14262644.0	4299093.0	0.0	92798879.0	8783342.0	164434671.0	7223628.0	55.3129420507	63.8	1.7	91.4	0.0	0.0	directional	7132390.0	7130254.0	839594638.0	25785365.0	52728539.0	505433724.0	15415483.0
B-14.1	13780196.0	4190658.0	0.0	88335732.0	8276367.0	155729245.0	7408821.0	54.2961877959	63.8	1.7	91.4	0.0	0.0	directional	6894252.0	6885944.0	796207821.0	25379675.0	50055132.0	479091121.0	14720224.0
B-15.1	14665943.0	4412506.0	0.0	95031838.0	9009776.0	166816588.0	7658858.0	54.8519826623	63.8	1.7	91.3	0.0	0.0	directional	7333860.0	7332083.0	857119157.0	26737307.0	53857684.0	516469645.0	15933626.0
B-16.1	13774613.0	4125574.0	0.0	90779074.0	8578223.0	160787430.0	7108822.0	55.0786038743	63.8	1.7	91.4	0.0	0.0	directional	6888200.0	6886413.0	819563715.0	25009009.0	51559616.0	492804475.0	15054897.0
B-17.1	20381309.0	6252759.0	1.0	129812645.0	13203979.0	229515092.0	10062307.0	55.5403878448	63.9	1.8	91.5	0.0	0.0	directional	10190062.0	10191246.0	1171434979.0	36696375.0	73446599.0	704005865.0	21450799.0
B-18.1	19676685.0	6092691.0	0.0	123432028.0	12619122.0	216947860.0	9819130.0	55.2894381124	63.9	1.8	91.4	0.0	0.0	directional	9838701.0	9837984.0	1114525800.0	35588506.0	69747906.0	671296800.0	20482084.0
B-19.1	19163771.0	5937831.0	0.0	119173224.0	12255276.0	208752480.0	9822465.0	54.8726784884	63.9	1.9	91.3	0.0	0.0	directional	9583787.0	9579984.0	1074799464.0	34924067.0	67306894.0	647447149.0	19864441.0
B-2.1	7123488.0	1643796.0	0.0	79273025.0	6680958.0	132776197.0	6530978.0	46.5640345289	66.2	1.6	93.2	0.0	0.0	directional	3554635.0	3568853.0	669182309.0	15298262.0	40393508.0	400363350.0	9695271.0
B-20.1	18771188.0	5805365.0	1.0	117052696.0	12100627.0	205288828.0	9594572.0	54.9328943662	63.9	1.9	91.3	0.0	0.0	directional	9384607.0	9386580.0	1058691938.0	34171125.0	66263846.0	638453755.0	19532186.0
B-21.1	25731029.0	7759432.0	1.0	165912825.0	15949430.0	292365339.0	12443584.0	56.0173374672	63.9	1.7	91.4	0.0	0.0	directional	12868640.0	12862388.0	1497836236.0	45934045.0	93910407.0	902036287.0	27661948.0
B-3.1	14653833.0	3323762.0	0.0	167610509.0	14153874.0	280739451.0	12002058.0	48.8792615445	66.4	1.7	93.3	0.0	0.0	directional	7317324.0	7336509.0	1406430342.0	29979653.0	84963433.0	838746780.0	20216295.0
B-4.1	8696360.0	1996862.0	0.0	93841570.0	7966928.0	155081116.0	7910301.0	46.745769605	66.2	1.6	93.1	0.0	0.0	directional	4344240.0	4352120.0	800427713.0	18603523.0	47896820.0	484064404.0	11576875.0
