Module	Section	Sample Name	Source
Bismark	m_bias	E_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/E_pe.deduplicated.M-bias.txt
Bismark	m_bias	F_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/F_pe.deduplicated.M-bias.txt
Bismark	m_bias	G_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/G_pe.deduplicated.M-bias.txt
Bismark	m_bias	A_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/A_pe.deduplicated.M-bias.txt
Bismark	m_bias	H_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/H_pe.deduplicated.M-bias.txt
Bismark	m_bias	B_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/B_pe.deduplicated.M-bias.txt
Bismark	m_bias	I_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/I_pe.deduplicated.M-bias.txt
Bismark	m_bias	C_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/C_pe.deduplicated.M-bias.txt
Bismark	m_bias	D_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/D_pe.deduplicated.M-bias.txt
Bismark	methylation_extraction	E_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/E_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	F_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/F_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	G_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/G_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	A_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/A_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	H_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/H_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	B_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/B_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	I_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/I_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	C_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/C_pe.deduplicated_splitting_report.txt
Bismark	methylation_extraction	D_pe	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/4_methylation_extraction/D_pe.deduplicated_splitting_report.txt
Bismark	deduplication	A-1.1	/netscratch/irg/grp_stich/Hv-DRR-pop/experiments/bismark21/3_deduplicated/A-1.1_bismark_bt2_pe.multiple.deduplication_report.txt
